 products,submitted,3462,Bree,./layout/uploads/products/img3462.jpg,Bree is het zelfbewuste elegante klassiek type , In het begin lijkt ze koel en afstandelijk maar wanneer men beter kijkt is ze verrassend hartelijk en warm. Groene appel en witte jasmijn staan voor haar rechtlijnige echtheid.Haar nieuwe warmte toont zich in zoete frambozen zacht meiklokjes gevolgd door elegante amber en expressieve vanille.,lady,body,39.90,parfum
 products,submitted,3463,Susan,./layout/uploads/products/img3463.jpg,Susan is charismatisch en artistiek.<br/>BLOEMIG - GROEN - ELEGANT,Niemand is zo beminnelijk en gelijktijdig toch sluw en handig.Een zee vol liefelijk sinaasbloesem verspreidt haar charme.gevolgd door een snuifje cederhout.De warmte van sandelwood en witte musk belichaamt haar grote hart,lady,body,39.90,parfum
 products,submitted,3460,Lynuette,./layout/uploads/products/img3460.jpg,Lynette is een powervrouw Eerzuchtig plichtbewust <br/>FRIS - BLOEMIG -INSPIREREND,Lynette is een powervrouw. Eersuchtig plichtgewust en desondanks beminnelijk leid ze haar leven vol overgave. De pure energie van zongerijpte citrusvruchten met een vleugje kardemom werken als een openbaring. Sterjasmijn en betoverende musk laten hun vrouwelijke kant zien.,lady,body,39.90,parfum
 products,submitted,3461,gabriëlle,./layout/uploads/products/img3461.jpg,Gabriëlle is de extravagante en glamoureuze diva.<br/>ORIËNTAALS - POEDERIG - VERLEIDELIJK,Gabriëlle is de extravagante en glamoureuze diva. Als mannendroom is ze steeds van strijd met het leven en de realiteit. Ondanks dat kan niemand haar weerstaan! De verleidelijke coctail uit wilde frambozen exotische ananas en verleidelijke coctail uit wilde frambozen  exotische ananas en verleidelike rozenblaadjes wordt gezoet door oprijzende patchouli en zonverwende bramen,lady,body,39.90,parfum
  products,submitted,3200-23,LR Classics antigua,./layout/uploads/products/img3200-23.jpg,ORIENTAALS - POEDERIG - VERLEIDELIJK,Een romance op de witte stranden van Antigua. Zachte perzik en abrikozen zorgen voor knetterende momenten.Zinnelijke bloesems omarmen het edele aroma van sandelwood en musk. Kostbaar zoals een schat midden in de oceaan,lady,body,27.90,parfum
 products,submitted,3200-22,LR Classics martinique,./layout/uploads/products/img3200-22.jpg,BLOEMIG - GROEN - ELEGANT,Glamoureus.geheimzinnig.Goddelijk. Een parel van de Caraïben - Martinique zo ook het parfum exotisch en schitterend. Frisse meloenen en zachte perzik ontmoeten hier viooltjes en meiklokjes.Zinnelijke vannile toont haar verleidelijke kant.,lady,body,27.90,parfum
 products,submitted,3200-24,LR Classics marbella,./layout/uploads/products/img3200-24.jpg,FRIS - BLOEMIG - INSPIREREND,Charmante verleiding-eenvoudig onweerstaanbaar.<br/>Een klasse apart-frisfruitige noten uit sinaasappel en bergamot vormen het begin.Tijdloos mooi presenteren de bloesems uit rozen en jasmijn zich.De pure luxe van de zuid Spaanse stad weerspiegelt zich in patchouli en vetiver,lady,body,27.90,parfum
 products,submitted,3200-19,LR Classics florenz,./layout/uploads/products/img3200-19.jpg,FRIS - BLOEMIG - INSPIREREND <br/>,Een extase voor de zinnen. Een stad vol verrassingen net zoals de gelijknamige geur - rode bessen verenigen zich hier met frisse sinaasappel.Witte jasmijnbloesems en amber laten hun pracht graag zien. Verleidelijke vrouwen  modiane winkelstraten. dat is het levensgevoel van florence.,lady,body,27.90,parfum
 products,submitted,3200-06,LR Classics Hawaii,./layout/uploads/products/img3200-06.jpg,ORIENTAALS - POEDERIG - VERLEIDELIJK ,De drang naar pure zinnelijkheid! Betoverende noten uit kaneel sandelwood en jasmijn wekken de herinneringen aan de compromisloze zomerflirt.De hypnotiserende combinatie uit witte musk en vanille berooft u van uw gedachten.,lady,body,27.90,parfum
 products,submitted,3200-20,LR Classics Variant,./layout/uploads/products/img3200-20.jpg,BLOEMIG - FRUITIG - SENSUEEL,Licht. Onvergetelijk. Inspirende magnoliabloesems en prikkelende gemberwortel nodigen uit tot dromen. Zachte litcheevrucht. verfijnde met aromatische peper.bepaalt het unieke geurlandschap.Een stralend boeiende compositie zoals de zonsopgant aan de zandstranden van Santorini.,lady,body,27.90,parfum
